Threatened species,Year,Series,Value
American Samoa,2017,Threatened Species: Vertebrates (number),27
American Samoa,2018,Threatened Species: Vertebrates (number),27
American Samoa,2019,Threatened Species: Vertebrates (number),29
American Samoa,2020,Threatened Species: Vertebrates (number),32
American Samoa,2004,Threatened Species: Invertebrates (number),5
American Samoa,2010,Threatened Species: Invertebrates (number),57
American Samoa,2016,Threatened Species: Invertebrates (number),64
American Samoa,2017,Threatened Species: Invertebrates (number),64
American Samoa,2018,Threatened Species: Invertebrates (number),64
American Samoa,2019,Threatened Species: Invertebrates (number),65
American Samoa,2020,Threatened Species: Invertebrates (number),65
American Samoa,2004,Threatened Species: Plants (number),1
American Samoa,2010,Threatened Species: Plants (number),1
American Samoa,2016,Threatened Species: Plants (number),1
American Samoa,2017,Threatened Species: Plants (number),1
American Samoa,2018,Threatened Species: Plants (number),1
American Samoa,2019,Threatened Species: Plants (number),1
American Samoa,2020,Threatened Species: Plants (number),2
American Samoa,2004,Threatened Species: Total (number),24
American Samoa,2010,Threatened Species: Total (number),79
American Samoa,2016,Threatened Species: Total (number),92
American Samoa,2017,Threatened Species: Total (number),92
American Samoa,2018,Threatened Species: Total (number),92
American Samoa,2019,Threatened Species: Total (number),95
American Samoa,2020,Threatened Species: Total (number),99
Andorra,2004,Threatened Species: Vertebrates (number),1
Andorra,2010,Threatened Species: Vertebrates (number),4
Andorra,2016,Threatened Species: Vertebrates (number),5
Andorra,2017,Threatened Species: Vertebrates (number),5
Andorra,2018,Threatened Species: Vertebrates (number),6
Andorra,2019,Threatened Species: Vertebrates (number),6
Andorra,2020,Threatened Species: Vertebrates (number),6
Andorra,2004,Threatened Species: Invertebrates (number),4
Andorra,2010,Threatened Species: Invertebrates (number),4
Andorra,2016,Threatened Species: Invertebrates (number),7
Andorra,2017,Threatened Species: Invertebrates (number),8
Andorra,2018,Threatened Species: Invertebrates (number),8
Andorra,2019,Threatened Species: Invertebrates (number),8
Andorra,2020,Threatened Species: Invertebrates (number),8
Andorra,2004,Threatened Species: Plants (number),0
Andorra,2010,Threatened Species: Plants (number),0
Andorra,2016,Threatened Species: Plants (number),0
Andorra,2017,Threatened Species: Plants (number),0
Andorra,2018,Threatened Species: Plants (number),0
Andorra,2019,Threatened Species: Plants (number),1
Andorra,2020,Threatened Species: Plants (number),1
Andorra,2004,Threatened Species: Total (number),5
Andorra,2010,Threatened Species: Total (number),8
Andorra,2016,Threatened Species: Total (number),12
Andorra,2017,Threatened Species: Total (number),13
Andorra,2018,Threatened Species: Total (number),14
Andorra,2019,Threatened Species: Total (number),15
Andorra,2020,Threatened Species: Total (number),15
Angola,2004,Threatened Species: Vertebrates (number),44
Angola,2010,Threatened Species: Vertebrates (number),77
Angola,2016,Threatened Species: Vertebrates (number),99
Angola,2017,Threatened Species: Vertebrates (number),103
Angola,2018,Threatened Species: Vertebrates (number),108
Angola,2019,Threatened Species: Vertebrates (number),111
Angola,2020,Threatened Species: Vertebrates (number),117
Angola,2004,Threatened Species: Invertebrates (number),6
Angola,2010,Threatened Species: Invertebrates (number),7
Angola,2016,Threatened Species: Invertebrates (number),9
Angola,2017,Threatened Species: Invertebrates (number),9
Angola,2018,Threatened Species: Invertebrates (number),11
Angola,2019,Threatened Species: Invertebrates (number),11
Angola,2020,Threatened Species: Invertebrates (number),11
Angola,2004,Threatened Species: Plants (number),26
Angola,2010,Threatened Species: Plants (number),33
Angola,2016,Threatened Species: Plants (number),34
Angola,2017,Threatened Species: Plants (number),34
Angola,2018,Threatened Species: Plants (number),35
Angola,2019,Threatened Species: Plants (number),36
Angola,2020,Threatened Species: Plants (number),43
Angola,2004,Threatened Species: Total (number),76
Angola,2010,Threatened Species: Total (number),117
Angola,2016,Threatened Species: Total (number),142
Angola,2017,Threatened Species: Total (number),146
Angola,2018,Threatened Species: Total (number),154
Angola,2019,Threatened Species: Total (number),158
Angola,2020,Threatened Species: Total (number),171
Anguilla,2004,Threatened Species: Vertebrates (number),15
Anguilla,2010,Threatened Species: Vertebrates (number),20
Anguilla,2016,Threatened Species: Vertebrates (number),38
Anguilla,2017,Threatened Species: Vertebrates (number),38
Anguilla,2018,Threatened Species: Vertebrates (number),40
Anguilla,2019,Threatened Species: Vertebrates (number),43
Anguilla,2020,Threatened Species: Vertebrates (number),47
Anguilla,2004,Threatened Species: Invertebrates (number),0
Anguilla,2010,Threatened Species: Invertebrates (number),10
Anguilla,2016,Threatened Species: Invertebrates (number),10
Anguilla,2017,Threatened Species: Invertebrates (number),10
Anguilla,2018,Threatened Species: Invertebrates (number),10
Anguilla,2019,Threatened Species: Invertebrates (number),10
Anguilla,2020,Threatened Species: Invertebrates (number),10
Anguilla,2004,Threatened Species: Plants (number),3
Anguilla,2010,Threatened Species: Plants (number),3
Anguilla,2016,Threatened Species: Plants (number),4
Anguilla,2017,Threatened Species: Plants (number),4
Anguilla,2018,Threatened Species: Plants (number),4
Anguilla,2019,Threatened Species: Plants (number),4
Anguilla,2020,Threatened Species: Plants (number),3
Anguilla,2004,Threatened Species: Total (number),18
Anguilla,2010,Threatened Species: Total (number),33
Anguilla,2016,Threatened Species: Total (number),52
Anguilla,2017,Threatened Species: Total (number),52
Anguilla,2018,Threatened Species: Total (number),54
Anguilla,2019,Threatened Species: Total (number),57
Anguilla,2020,Threatened Species: Total (number),60
Antarctica,2004,Threatened Species: Vertebrates (number),8
Antarctica,2010,Threatened Species: Vertebrates (number),6
Antarctica,2016,Threatened Species: Vertebrates (number),6
Antarctica,2017,Threatened Species: Vertebrates (number),6
Antarctica,2018,Threatened Species: Vertebrates (number),6
Antarctica,2019,Threatened Species: Vertebrates (number),6
Antarctica,2020,Threatened Species: Vertebrates (number),6
Antarctica,2004,Threatened Species: Invertebrates (number),0
Antarctica,2010,Threatened Species: Invertebrates (number),0
Antarctica,2016,Threatened Species: Invertebrates (number),0
Antarctica,2017,Threatened Species: Invertebrates (number),0
Antarctica,2018,Threatened Species: Invertebrates (number),0
Antarctica,2019,Threatened Species: Invertebrates (number),0
Antarctica,2020,Threatened Species: Invertebrates (number),0
Antarctica,2004,Threatened Species: Plants (number),0
Antarctica,2010,Threatened Species: Plants (number),0
Antarctica,2016,Threatened Species: Plants (number),0
Antarctica,2017,Threatened Species: Plants (number),0
Antarctica,2018,Threatened Species: Plants (number),0
Antarctica,2019,Threatened Species: Plants (number),0
Antarctica,2020,Threatened Species: Plants (number),0
Antarctica,2004,Threatened Species: Total (number),8
Antarctica,2010,Threatened Species: Total (number),6
Antarctica,2016,Threatened Species: Total (number),6
Antarctica,2017,Threatened Species: Total (number),6
Antarctica,2018,Threatened Species: Total (number),6
Antarctica,2019,Threatened Species: Total (number),6
Antarctica,2020,Threatened Species: Total (number),6
Antigua and Barbuda,2004,Threatened Species: Vertebrates (number),18
Antigua and Barbuda,2010,Threatened Species: Vertebrates (number),23
Antigua and Barbuda,2016,Threatened Species: Vertebrates (number),38
Antigua and Barbuda,2017,Threatened Species: Vertebrates (number),40
Antigua and Barbuda,2018,Threatened Species: Vertebrates (number),41
Antigua and Barbuda,2019,Threatened Species: Vertebrates (number),44
Antigua and Barbuda,2020,Threatened Species: Vertebrates (number),47
Antigua and Barbuda,2004,Threatened Species: Invertebrates (number),0
Antigua and Barbuda,2010,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2016,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2017,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2018,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2019,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2020,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2004,Threatened Species: Plants (number),4
Antigua and Barbuda,2010,Threatened Species: Plants (number),4
Antigua and Barbuda,2016,Threatened Species: Plants (number),4
Antigua and Barbuda,2017,Threatened Species: Plants (number),4
Antigua and Barbuda,2018,Threatened Species: Plants (number),4
Antigua and Barbuda,2019,Threatened Species: Plants (number),4
Antigua and Barbuda,2020,Threatened Species: Plants (number),3
Antigua and Barbuda,2004,Threatened Species: Total (number),22
Antigua and Barbuda,2010,Threatened Species: Total (number),38
Antigua and Barbuda,2016,Threatened Species: Total (number),53
Antigua and Barbuda,2017,Threatened Species: Total (number),55
Antigua and Barbuda,2018,Threatened Species: Total (number),56
Antigua and Barbuda,2019,Threatened Species: Total (number),59
Antigua and Barbuda,2020,Threatened Species: Total (number),61
Areas n.e.s,2004,Threatened Species: Vertebrates (number),1
Areas n.e.s,2010,Threatened Species: Vertebrates (number),1
Areas n.e.s,2016,Threatened Species: Vertebrates (number),3
Areas n.e.s,2017,Threatened Species: Vertebrates (number),3
Areas n.e.s,2018,Threatened Species: Vertebrates (number),5
Areas n.e.s,2019,Threatened Species: Vertebrates (number),7
Areas n.e.s,2004,Threatened Species: Invertebrates (number),0
Areas n.e.s,2010,Threatened Species: Invertebrates (number),0
Areas n.e.s,2016,Threatened Species: Invertebrates (number),1
Areas n.e.s,2017,Threatened Species: Invertebrates (number),1
Areas n.e.s,2018,Threatened Species: Invertebrates (number),1
Areas n.e.s,2019,Threatened Species: Invertebrates (number),1
Areas n.e.s,2004,Threatened Species: Plants (number),0
Areas n.e.s,2010,Threatened Species: Plants (number),0
Areas n.e.s,2016,Threatened Species: Plants (number),0
Areas n.e.s,2017,Threatened Species: Plants (number),0
Areas n.e.s,2018,Threatened Species: Plants (number),0
Areas n.e.s,2004,Threatened Species: Total (number),1
Areas n.e.s,2010,Threatened Species: Total (number),1
Areas n.e.s,2016,Threatened Species: Total (number),4
Areas n.e.s,2017,Threatened Species: Total (number),4
Areas n.e.s,2018,Threatened Species: Total (number),6
Areas n.e.s,2019,Threatened Species: Total (number),8
Argentina,2004,Threatened Species: Vertebrates (number),134
Argentina,2010,Threatened Species: Vertebrates (number),157
Argentina,2016,Threatened Species: Vertebrates (number),172
Argentina,2017,Threatened Species: Vertebrates (number),172
Argentina,2018,Threatened Species: Vertebrates (number),186
Argentina,2019,Threatened Species: Vertebrates (number),190
Argentina,2020,Threatened Species: Vertebrates (number),194
Argentina,2004,Threatened Species: Invertebrates (number),10
Argentina,2010,Threatened Species: Invertebrates (number),12
Argentina,2016,Threatened Species: Invertebrates (number),14
Argentina,2017,Threatened Species: Invertebrates (number),14
Argentina,2018,Threatened Species: Invertebrates (number),14
Argentina,2019,Threatened Species: Invertebrates (number),14
Argentina,2020,Threatened Species: Invertebrates (number),15
Argentina,2004,Threatened Species: Plants (number),42
Argentina,2010,Threatened Species: Plants (number),44
Argentina,2016,Threatened Species: Plants (number),70
Argentina,2017,Threatened Species: Plants (number),70
Argentina,2018,Threatened Species: Plants (number),70
Argentina,2019,Threatened Species: Plants (number),75
Argentina,2020,Threatened Species: Plants (number),76
Argentina,2004,Threatened Species: Total (number),186
Argentina,2010,Threatened Species: Total (number),213
Argentina,2016,Threatened Species: Total (number),256
Argentina,2017,Threatened Species: Total (number),256
Argentina,2018,Threatened Species: Total (number),270
Argentina,2019,Threatened Species: Total (number),279
Argentina,2020,Threatened Species: Total (number),285
Armenia,2004,Threatened Species: Vertebrates (number),27
Armenia,2010,Threatened Species: Vertebrates (number),29
Armenia,2016,Threatened Species: Vertebrates (number),34
Armenia,2017,Threatened Species: Vertebrates (number),34
Armenia,2018,Threatened Species: Vertebrates (number),33
Armenia,2019,Threatened Species: Vertebrates (number),34
Armenia,2020,Threatened Species: Vertebrates (number),34
Armenia,2004,Threatened Species: Invertebrates (number),7
Armenia,2010,Threatened Species: Invertebrates (number),6
Armenia,2016,Threatened Species: Invertebrates (number),9
Armenia,2017,Threatened Species: Invertebrates (number),9
Armenia,2018,Threatened Species: Invertebrates (number),9
Armenia,2019,Threatened Species: Invertebrates (number),9
Armenia,2020,Threatened Species: Invertebrates (number),9
Armenia,2004,Threatened Species: Plants (number),1
Armenia,2010,Threatened Species: Plants (number),1
Armenia,2016,Threatened Species: Plants (number),71
Armenia,2017,Threatened Species: Plants (number),71
Armenia,2018,Threatened Species: Plants (number),73
Armenia,2019,Threatened Species: Plants (number),76
Armenia,2020,Threatened Species: Plants (number),76
Armenia,2004,Threatened Species: Total (number),35
Armenia,2010,Threatened Species: Total (number),36
Armenia,2016,Threatened Species: Total (number),114
Armenia,2017,Threatened Species: Total (number),114
Armenia,2018,Threatened Species: Total (number),115
Armenia,2019,Threatened Species: Total (number),119
Armenia,2020,Threatened Species: Total (number),119
Aruba,2004,Threatened Species: Vertebrates (number),17
Aruba,2010,Threatened Species: Vertebrates (number),20
Aruba,2016,Threatened Species: Vertebrates (number),28
Aruba,2017,Threatened Species: Vertebrates (number),28
Aruba,2018,Threatened Species: Vertebrates (number),28
Aruba,2019,Threatened Species: Vertebrates (number),33
Aruba,2020,Threatened Species: Vertebrates (number),37
Aruba,2004,Threatened Species: Invertebrates (number),1
Aruba,2010,Threatened Species: Invertebrates (number),1
Aruba,2016,Threatened Species: Invertebrates (number),2
Aruba,2017,Threatened Species: Invertebrates (number),2
Aruba,2018,Threatened Species: Invertebrates (number),2
Aruba,2019,Threatened Species: Invertebrates (number),2
Aruba,2020,Threatened Species: Invertebrates (number),2
Aruba,2004,Threatened Species: Plants (number),0
Aruba,2010,Threatened Species: Plants (number),1
Aruba,2016,Threatened Species: Plants (number),2
Aruba,2017,Threatened Species: Plants (number),2
Aruba,2018,Threatened Species: Plants (number),2
Aruba,2019,Threatened Species: Plants (number),3
Aruba,2020,Threatened Species: Plants (number),5
Aruba,2004,Threatened Species: Total (number),18
Aruba,2010,Threatened Species: Total (number),22
Aruba,2016,Threatened Species: Total (number),32
Aruba,2017,Threatened Species: Total (number),32
Aruba,2018,Threatened Species: Total (number),32
Aruba,2019,Threatened Species: Total (number),38
Aruba,2020,Threatened Species: Total (number),44
Australia,2004,Threatened Species: Vertebrates (number),282
Australia,2010,Threatened Species: Vertebrates (number),297
Australia,2016,Threatened Species: Vertebrates (number),319
Australia,2017,Threatened Species: Vertebrates (number),323
Australia,2018,Threatened Species: Vertebrates (number),358
Australia,2019,Threatened Species: Vertebrates (number),363
Australia,2020,Threatened Species: Vertebrates (number),433
Australia,2004,Threatened Species: Invertebrates (number),283
Australia,2010,Threatened Species: Invertebrates (number),489
Australia,2016,Threatened Species: Invertebrates (number),514
Australia,2017,Threatened Species: Invertebrates (number),531
Australia,2018,Threatened Species: Invertebrates (number),534
Australia,2019,Threatened Species: Invertebrates (number),545
Australia,2020,Threatened Species: Invertebrates (number),548
Australia,2004,Threatened Species: Plants (number),56
Australia,2010,Threatened Species: Plants (number),67
Australia,2016,Threatened Species: Plants (number),93
Australia,2017,Threatened Species: Plants (number),94
Australia,2018,Threatened Species: Plants (number),106
Australia,2019,Threatened Species: Plants (number),108
Australia,2020,Threatened Species: Plants (number),327
Australia,2004,Threatened Species: Total (number),621
Australia,2010,Threatened Species: Total (number),853
Australia,2016,Threatened Species: Total (number),926
Australia,2017,Threatened Species: Total (number),948
Australia,2018,Threatened Species: Total (number),998
Australia,2019,Threatened Species: Total (number),1016
Australia,2020,Threatened Species: Total (number),1308
Austria,2004,Threatened Species: Vertebrates (number),20
Austria,2010,Threatened Species: Vertebrates (number),23
Austria,2016,Threatened Species: Vertebrates (number),27
Austria,2017,Threatened Species: Vertebrates (number),26
Austria,2018,Threatened Species: Vertebrates (number),28
Austria,2019,Threatened Species: Vertebrates (number),28
Austria,2020,Threatened Species: Vertebrates (number),28
Austria,2004,Threatened Species: Invertebrates (number),44
Austria,2010,Threatened Species: Invertebrates (number),55
Austria,2016,Threatened Species: Invertebrates (number),69
Austria,2017,Threatened Species: Invertebrates (number),71
Austria,2018,Threatened Species: Invertebrates (number),74
Austria,2019,Threatened Species: Invertebrates (number),74
Austria,2020,Threatened Species: Invertebrates (number),74
Austria,2004,Threatened Species: Plants (number),3
Austria,2010,Threatened Species: Plants (number),4
Austria,2016,Threatened Species: Plants (number),21
Austria,2017,Threatened Species: Plants (number),21
Austria,2018,Threatened Species: Plants (number),25
Austria,2019,Threatened Species: Plants (number),68
Austria,2020,Threatened Species: Plants (number),83
Austria,2004,Threatened Species: Total (number),67
Austria,2010,Threatened Species: Total (number),82
Austria,2016,Threatened Species: Total (number),117
Austria,2017,Threatened Species: Total (number),118
Austria,2018,Threatened Species: Total (number),127
Austria,2019,Threatened Species: Total (number),170
Austria,2020,Threatened Species: Total (number),185
Azerbaijan,2004,Threatened Species: Vertebrates (number),32
Azerbaijan,2010,Threatened Species: Vertebrates (number),41
Azerbaijan,2016,Threatened Species: Vertebrates (number),47
Azerbaijan,2017,Threatened Species: Vertebrates (number),48
Azerbaijan,2018,Threatened Species: Vertebrates (number),47
Azerbaijan,2019,Threatened Species: Vertebrates (number),49
Azerbaijan,2020,Threatened Species: Vertebrates (number),49
Azerbaijan,2004,Threatened Species: Invertebrates (number),6
Azerbaijan,2010,Threatened Species: Invertebrates (number),4
Azerbaijan,2016,Threatened Species: Invertebrates (number),7
Azerbaijan,2017,Threatened Species: Invertebrates (number),7
Azerbaijan,2018,Threatened Species: Invertebrates (number),7
Azerbaijan,2019,Threatened Species: Invertebrates (number),7
Azerbaijan,2020,Threatened Species: Invertebrates (number),7
Azerbaijan,2004,Threatened Species: Plants (number),0
Azerbaijan,2010,Threatened Species: Plants (number),0
Azerbaijan,2016,Threatened Species: Plants (number),42
Azerbaijan,2017,Threatened Species: Plants (number),42
Azerbaijan,2018,Threatened Species: Plants (number),43
Azerbaijan,2019,Threatened Species: Plants (number),45
Azerbaijan,2020,Threatened Species: Plants (number),46
Azerbaijan,2004,Threatened Species: Total (number),38
Azerbaijan,2010,Threatened Species: Total (number),45
Azerbaijan,2016,Threatened Species: Total (number),96
Azerbaijan,2017,Threatened Species: Total (number),97
Azerbaijan,2018,Threatened Species: Total (number),97
Azerbaijan,2019,Threatened Species: Total (number),101
Azerbaijan,2020,Threatened Species: Total (number),102
Bahamas,2004,Threatened Species: Vertebrates (number),36
Bahamas,2010,Threatened Species: Vertebrates (number),44
Bahamas,2016,Threatened Species: Vertebrates (number),65
Bahamas,2017,Threatened Species: Vertebrates (number),66
Bahamas,2018,Threatened Species: Vertebrates (number),71
Bahamas,2019,Threatened Species: Vertebrates (number),71
Bahamas,2020,Threatened Species: Vertebrates (number),72
Bahamas,2004,Threatened Species: Invertebrates (number),1
Bahamas,2010,Threatened Species: Invertebrates (number),11
Bahamas,2016,Threatened Species: Invertebrates (number),12
Bahamas,2017,Threatened Species: Invertebrates (number),12
Bahamas,2018,Threatened Species: Invertebrates (number),12
Bahamas,2019,Threatened Species: Invertebrates (number),12
Bahamas,2020,Threatened Species: Invertebrates (number),12
Bahamas,2004,Threatened Species: Plants (number),5
Bahamas,2010,Threatened Species: Plants (number),7
Bahamas,2016,Threatened Species: Plants (number),8
Bahamas,2017,Threatened Species: Plants (number),8
Bahamas,2018,Threatened Species: Plants (number),7
Bahamas,2019,Threatened Species: Plants (number),12
Bahamas,2020,Threatened Species: Plants (number),12
Bahamas,2004,Threatened Species: Total (number),42
Bahamas,2010,Threatened Species: Total (number),62
Bahamas,2016,Threatened Species: Total (number),85
Bahamas,2017,Threatened Species: Total (number),86
Bahamas,2018,Threatened Species: Total (number),90
Bahamas,2019,Threatened Species: Total (number),95
Bahamas,2020,Threatened Species: Total (number),96
Bahrain,2004,Threatened Species: Vertebrates (number),18
Bahrain,2010,Threatened Species: Vertebrates (number),19
Bahrain,2016,Threatened Species: Vertebrates (number),23
Bahrain,2017,Threatened Species: Vertebrates (number),23
Bahrain,2018,Threatened Species: Vertebrates (number),27
Bahrain,2019,Threatened Species: Vertebrates (number),33
Bahrain,2020,Threatened Species: Vertebrates (number),34
Bahrain,2004,Threatened Species: Invertebrates (number),0
Bahrain,2010,Threatened Species: Invertebrates (number),13
Bahrain,2016,Threatened Species: Invertebrates (number),13
Bahrain,2017,Threatened Species: Invertebrates (number),13
Bahrain,2018,Threatened Species: Invertebrates (number),13
Bahrain,2019,Threatened Species: Invertebrates (number),13
Bahrain,2020,Threatened Species: Invertebrates (number),13
Bahrain,2004,Threatened Species: Plants (number),0
Bahrain,2010,Threatened Species: Plants (number),0
Bahrain,2016,Threatened Species: Plants (number),0
Bahrain,2017,Threatened Species: Plants (number),0
Bahrain,2018,Threatened Species: Plants (number),0
Bahrain,2019,Threatened Species: Plants (number),0
Bahrain,2020,Threatened Species: Plants (number),0
Bahrain,2004,Threatened Species: Total (number),18
Bahrain,2010,Threatened Species: Total (number),32
Bahrain,2016,Threatened Species: Total (number),36
Bahrain,2017,Threatened Species: Total (number),36
Bahrain,2018,Threatened Species: Total (number),40
Bahrain,2019,Threatened Species: Total (number),46
Bahrain,2020,Threatened Species: Total (number),47
Bangladesh,2004,Threatened Species: Vertebrates (number),73
Bangladesh,2010,Threatened Species: Vertebrates (number),104
Bangladesh,2016,Threatened Species: Vertebrates (number),120
Bangladesh,2017,Threatened Species: Vertebrates (number),123
Bangladesh,2018,Threatened Species: Vertebrates (number),125
Bangladesh,2019,Threatened Species: Vertebrates (number),128
Bangladesh,2020,Threatened Species: Vertebrates (number),133
Bangladesh,2004,Threatened Species: Invertebrates (number),0
Bangladesh,2010,Threatened Species: Invertebrates (number),2
Bangladesh,2016,Threatened Species: Invertebrates (number),7
Bangladesh,2017,Threatened Species: Invertebrates (number),7
Bangladesh,2018,Threatened Species: Invertebrates (number),7
Bangladesh,2019,Threatened Species: Invertebrates (number),7
Bangladesh,2020,Threatened Species: Invertebrates (number),7
Bangladesh,2004,Threatened Species: Plants (number),12
Bangladesh,2010,Threatened Species: Plants (number),16
Bangladesh,2016,Threatened Species: Plants (number),21
Bangladesh,2017,Threatened Species: Plants (number),21
Bangladesh,2018,Threatened Species: Plants (number),22
Bangladesh,2019,Threatened Species: Plants (number),23
Bangladesh,2020,Threatened Species: Plants (number),25
Bangladesh,2004,Threatened Species: Total (number),85
Bangladesh,2010,Threatened Species: Total (number),122
Bangladesh,2016,Threatened Species: Total (number),148
Bangladesh,2017,Threatened Species: Total (number),151
Bangladesh,2018,Threatened Species: Total (number),154
Bangladesh,2019,Threatened Species: Total (number),158
Bangladesh,2020,Threatened Species: Total (number),165
Barbados,2004,Threatened Species: Vertebrates (number),18
Barbados,2010,Threatened Species: Vertebrates (number),24
Barbados,2016,Threatened Species: Vertebrates (number),39
Barbados,2017,Threatened Species: Vertebrates (number),42
Barbados,2018,Threatened Species: Vertebrates (number),43
Barbados,2019,Threatened Species: Vertebrates (number),44
Barbados,2020,Threatened Species: Vertebrates (number),48
Barbados,2004,Threatened Species: Invertebrates (number),0
Barbados,2010,Threatened Species: Invertebrates (number),10
Barbados,2016,Threatened Species: Invertebrates (number),11
Barbados,2017,Threatened Species: Invertebrates (number),11
Barbados,2018,Threatened Species: Invertebrates (number),11
Barbados,2019,Threatened Species: Invertebrates (number),11
Barbados,2020,Threatened Species: Invertebrates (number),11
Barbados,2004,Threatened Species: Plants (number),2
Barbados,2010,Threatened Species: Plants (number),2
Barbados,2016,Threatened Species: Plants (number),3
Barbados,2017,Threatened Species: Plants (number),3
Barbados,2018,Threatened Species: Plants (number),3
Barbados,2019,Threatened Species: Plants (number),3
Barbados,2020,Threatened Species: Plants (number),3
Barbados,2004,Threatened Species: Total (number),20
Barbados,2010,Threatened Species: Total (number),36
Barbados,2016,Threatened Species: Total (number),53
